artist,title,decade,date,lyric
Bon Jovi,This Ain’t a Love Song,90s,1995,"12 contributorstranslationsportuguêsthis ain’t a love song lyricsverse 1 i should have seen it coming when roses died should have seen the end of summer in your eyes i should have listened when you said good night you really meant good bye baby, ain't it funny how we never ever learn to fall? you're really on your knees, when you think you're standing tall but only fools are ""know-it-alls"" and i played that fool for you  pre-chorus i cried and i cried, there were nights that i died for you baby i tried and i tried to deny your love drove me crazy, baby  chorus if the love that i've got for you is gone and if the river i’ve cried ain’t that long then i'm wrong, yeah i'm wrong this ain't a love song  verse 2 baby, i thought you and me would stand the test of time like we got away with the perfect crime but we were just a legend in my mind i guess that i was blind remember those nights dancing at the masquerade the clowns wore smiles that wouldn't fade but you and i were the renegades, some things never change it made me so mad because i wanted it bad for us baby and now it's so sad that whatever we had ain't worth saving you might also likechorus if the love that i've got for you is gone and if the river i’ve cried ain’t that long then i'm wrong, yeah i'm wrong this ain't a love song if the pain that i'm feeling so strong is the reason i'm holding on then i'm wrong, yeah i'm wrong this ain't a love song  pre-chorus i cried and i cried, there were nights that i died for you baby i tried and i tried to deny your love drove me crazy, baby  chorus if the love that i've got for you is gone and if the river i’ve cried ain’t that long then i'm wrong, yeah i'm wrong this ain't a love song if the pain that i'm feeling so strong is the reason i'm holding on then i'm wrong, yeah i'm wrong this ain't a love song  outro then i'm wrong, yeah i'm wrong, this ain't a love song then, i'm wrong, yeah, i'm wrong, this ain't a love song1embed"
Bon Jovi,Never Say Goodbye,80s,1986,"11 contributorsnever say goodbye lyricsverse 1 as i sit in this smoky room the night about to end i pass my time with strangers but this bottle's my only friend rememberin' when we used to park on butler street out in the dark remember when we lost the keys and you lost more than that in my backseat, baby  pre-chorus remember how we used to talk about bustin' out, we'd break their hearts together forever  chorus never say goodbye, never say goodbye you and me and my old friends hopin' it would never end say goodbye, never say goodbye holdin' on, we've gotta try holdin' on to never say goodbye  verse 2 remember days of skippin' school racin' cars and bein' cool with a six-pack and the radio we didn't need no place to go remember at the prom that night you and me, we had a fight but the band, they played our favorite song and i held you in my arms so strong you might also likepre-chorus we danced so close, we danced so slow and i swore i'd never let you go together forever  chorus never say goodbye, never say goodbye you and me and my old friends hopin' it would never end say goodbye, never say goodbye holdin' on, we've gotta try holdin' on to never say goodbye  pre-chorus oh, and i guess you'd say we used to talk about bustin' out, we'd break their hearts together forever  chorus never say goodbye, never say goodbye you and me and my old friends hopin' it would never end say goodbye, never say goodbye holdin' on, we gotta try holdin' on to never say goodbye yeah, yeah1embed"
Bon Jovi,Have a Nice Day,00s,2005,"14 contributorstranslationsportuguêshave a nice day lyricsverse 1 why, you wanna tell me how to live my life? who, are you to tell me if it's black or white? mama, can you hear me? try to understand is innocence the difference between a boy and a man? my daddy lived the lie, that's just the price that he paid sacrificed his life, just slaving away  chorus ohh, if there's one thing i hang onto that gets me through the night i ain't gonna do what i don't want to i'm gonna live my life shining like a diamond, rolling with the dice standing on the ledge, i show the wind how to fly when the world gets in my face i say, have a nice day have a nice day  verse 2 take a look around you; nothing's what it seems we're living in the broken home of hopes and dreams let me be the first to shake a helping hand anybody brave enough to take a stand i've knocked on every door, on every dead end street looking for forgiveness what's left to believe? you might also likechorus ohh, if there's one thing i hang onto that gets me through the night i ain't gonna do what i don't want to i'm gonna live my life shining like a diamond, rolling with the dice standing on the ledge, i show the wind how to fly when the world gets in my face i say, have a nice day have a nice day  guitar solo  chorus ohh, ohh, if there's one thing i hang onto that gets me through the night i ain't gonna do what i don't want to i'm gonna live my life shining like a diamond, rolling with the dice standing on the ledge, i show the wind how to fly when the world gets in my face i say, have a nice day have a nice day  post-chorus have a nice day have a nice day have a nice day have a nice day outro when the world keeps trying, to drag me down i gotta raise my hands, i'm gonna stand my ground well, i say, hey, have a nice day have a nice day have a nice dayembed"
Bon Jovi,Shot Through the Heart,80s,1984,"8 contributorsshot through the heart lyricsintro shot through the heart it's all part of the game that we call love  verse 1 would you be content to see me crying? after all those little games you put me through after all, i've done for you, you're lying wouldn't it be nice, to tell the truth?  pre-chorus didn't somebody somewhere say you're gonna take a fall? i gave you everything now here's the curtain call  chorus and i'm shot through the heart as i lay there alone in the dark through the heart it's all part of this game that we call love  verse 2 now you've come back here to say you're sorry, haha! i just don't know who you're talking to it could be the man i used to be, girl i've grown up and now i'm over you standing there just a live wire with nowhere left to turn you were gonna set the world on fire but you never learn you might also likechorus that i'm shot through the heart as i lay there alone in the dark through the heart it's all part of this game that we call love  guitar solo  pre-chorus standing there just a live wire with nowhere left to turn you were gonna set the world on fire but you never learn? now you're shot  verse 3 baby does, baby, please and baby must have what she sees but not this time, the tables turned and, baby, you just got burned  outro shot through the heart as i lay there alone in the dark through the heart it's all part of the game that we call shot through the heart as i lay there alone in the dark through the heart it's all part of the game that we call shot through the heart as i lay there alone in the dark through the heart it's all part of the game... shot, shot, shot shot, shot, shot shot, shot, shot1embed"
Bon Jovi,Keep the Faith,90s,1992,"8 contributorstranslationsportuguêskeep the faith lyricsverse 1 mother, mother, tell your children that their time has just begun i have suffered for my anger there are wars that can't be won  father, father, please believe me i am layin' down my guns i am broken like an arrow forgive me, forgive your wayward son  pre-chorus (everybody needs somebody to love) mother, mother (everybody needs somebody to hate) please believe me (everybody's bitchin' 'cause they can't get enough) and it's hard to hold on when there's no one to lean on  chorus faith, you know you're gonna live through the rain lord we've gotta keep the faith faith, don't you let your love turn to hate now we've gotta keep the faith  post-chorus keep the faith, keep the faith lord, we've gotta keep the faith you might also likeverse 2 tell me, baby, when i hurt you do you keep it all inside? do you tell me all's forgiven and just hide behind your pride? yeah  pre-chorus (everybody needs somebody to love) mother, father (everybody needs somebody to hate) please don't leave me (everybody's bleedin' 'cause the times are tough) well, it's hard to be strong when there's no one to dream on  chorus faith, you know you're gonna live through the rain lord we've gotta keep the faith faith, don't you know it's never too late right now we've gotta keep the faith faith, don't you let your love turn to hate lord, we've gotta keep the faith  post-chorus keep the faith, keep the faith oh, we've gotta keep the faith keep the faith, keep the faith lord, we've gotta keep the faith ooh yeah, ooh yeah yeah, yeah, yeah guitar solo  bridge i've been walking in the footsteps, of society's lies i don't like what i see no more, sometimes i wish that i was blind sometimes i wait forever, to stand out in the rain so no one sees me crying, trying to wash away this pain  pre-chorus mother, father (everybody needs somebody to love) there's things i've done i can't erase (everybody needs somebody to hate) and every night we fall from grace (everybody's bitchin' 'cause they can't get enough) it's hard with the world in your face trying to hold on, trying to hold on (everybody needs, everybody, keep the faith)  chorus faith, you know you're gonna live through the rain lord you gotta keep the faith faith, don't you let your love turn to hate right now we've gotta keep the faith (faith, keep the faith, keep the faith) trying to hold on, trying to hold on, yeah (faith, keep the faith, keep the faith) everybody keep the faith (faith, keep the faith, keep the faith) ooh yeah, ooh yeah, ooh yeah, ooh yeah, ooh yeah (everybody needs somebody to love) ooh yeah, ooh yeah, ooh yeah, ooh yeah, ooh yeah (everybody needs somebody to hate) (everybody needs somebody to love) (everybody needs, everybody, keep the faith) (faith) (faith)1embed"
Bon Jovi,These Days,90s,1995,"10 contributorstranslationsportuguêsthese days lyricsintro i was walking around, just a face in the crowd trying to keep myself out of the rain saw a vagabond king wear a styrofoam crown wondered if i might end up the same there's a man out on the corner singing old songs about change everybody got their cross to bare these days  verse 1 she came looking for some shelter with a suitcase full of dreams to a motel room on the boulevard i guess she's trying to be james dean she's seen all the disciples and all the wannabes no one wants to be themselves these days still there's nothing to hold on to but these days  chorus these days, the stars seem out of reach these days, there ain't a ladder on the streets these days are fast, nothing lasts in this graceless age there ain't nobody left but us these days  verse 2 jimmy shoes, he busted both his legs trying to learn to fly from a second story window he just jumped and closed his eyes his momma said he was crazy he said, ""momma, i've got to try don't you know that all my heroes died? and i guess i'd rather die than f-f-fade away"", yeah you might also likechorus these days, the stars seem out of reach, yeah these days, there ain't a ladder on the streets, oh no no these days are fast, nothing lasts, it's a graceless age even innocence has caught the midnight train there ain't nobody left but us these days  bridge (whoa, oh-oh-oh-oh) i know rome's still burning (whoa, oh-oh-oh-oh) though the times have changed (whoa, oh-oh-oh-oh) this world keeps turning round and round and round and round these days  guitar solo  chorus these days, the stars seem out of reach, yeah these days, there ain't a ladder on the streets, oh no no these days are fast, love don't last, it's a graceless age even innocence has caught the midnight train  these days, the stars seem out of reach, yeah these days, there ain't a ladder on the streets, oh no no these days are fast, nothing lasts, there ain't no time to waste there ain't nobody left to take the blame oh no no no, ain't nobody left but us these days ain't nobody left but us these days instrumental outro1embed"
Bon Jovi,Walls,10s,2018,5 contributorswalls lyricsverse 1 my mama told me when i was younger you better speak up don't be a number my daddy told me when there was thunder go be the lightning don't run for cover  pre-chorus who's gonna help the helpless sometimes we're all alone these days we're all just looking for a place that we call home  chorus now we can't climb over and you can't go 'round build them up we'll tear them down brick by brick gonna watch them fall build more bridges and tear down walls you might also likethese walls are the mountains that we climb these walls are the great divide brick by brick gonna watch them fall build more bridges tear down walls  verse 2 the space between us is getting wider we need the spark to light the fire show me the promise give me some feeling there's too much hurting we need some healing  pre-chorus who's gonna help the helpless sometimes we're all alone these days we're one step closer to that place that we call home  chorus now we can't climb over and you can't go 'round build them up we'll tear them down brick by brick gonna watch them fall build more bridges and tear down walls these walls are the mountains that we climb these walls are the great divide brick by brick gonna watch them fall build more bridges tear down these walls  bridge i remember when the world was smaller and we both felt 10 feet taller  chorus now we can't climb over and you can't go 'round build them up we'll tear them down brick by brick gonna watch them fall build more bridges and tear down walls  these walls are the mountains that we climb these walls are the great divide brick by brick gonna watch them fall build more bridges tear down these walls (these walls) (these walls) (these walls) tear down these walls (these walls) (these walls) (these walls) tear down wallsembed
Bon Jovi,Born to Be My Baby,80s,1988,"18 contributorstranslationsportuguêsborn to be my baby lyricsintro two, three, four! na-na-na na-na-na na na-na na-na na-na-na na-na-na na na-na na-na na-na-na na-na-na na na-na na-na  verse 1 rainy night and we worked all day we both got jobs because there's bills to pay we got something they can't take away our love, our lives close the door, leave the cold outside i don't need nothing when i'm by your side we got something that'll never die our dreams, our pride  pre-chorus my heart beats like a drum (all night) flesh to flesh, one to one (and it's alright) and i'll never let go cause there's something i know deep inside  chorus that you were born to be my baby and baby, i was made to be your man we got something to believe in even if we don't know where we stand only god would know the reasons but i bet he must have had a plan 'cause you were born to be my baby and baby, i was made to be your man you might also likeverse 2 light a candle, blow the world away table for two on a tv tray it ain't fancy, baby, that's okay our time, our way so hold me close better hang on tight buckle up, baby, it's a bumpy ride we're two kids hitching down the road of life our world, our fight  pre-chorus if we stand side by side (all night) there's a chance we'll get by (and it's alright) and i'll know that you'll be live in my heart till the day that i die  chorus 'cause you were born to be my baby and baby, i was made to be your man we got something to believe in even if we don't know where we stand only god would know the reasons but i bet he must have had a plan 'cause you were born to be my baby and baby, i was made to be your man guitar solo  pre-chorus my heart beats like a drum (all night) flesh to flesh, one to one (and it's alright) and i'll never let go cause there's something i know deep inside  chorus you were born to be my baby and baby, i was made to be your man we got something to believe in even if we don't know where we stand only god would know the reasons but i bet he must have had a plan 'cause you were born to be my baby and baby, i was made to be your man you were born to be my baby and baby, i was made to be your man  outro na-na-na na-na-na na na-na na-na na-na-na na-na-na na na-na na-na na-na-na na-na-na na na-na na-na na-na-na na-na-na na na-na na-na na-na-na na-na-na na na-na na-na na-na-na na-na-na na na-na na-na na-na-na na-na-na na na-na na-na na-na-na na-na-na na na-na na-na na-na-na na-na-na na na-na na-na4embed"
Bon Jovi,Do What You Can,10s,2020,"10 contributorsdo what you can lyricsverse 1 tonight they're shutting down the borders and they boarded up the schools small towns are rollin’ up their sidewalks one less paycheck comin' through i know you're feelin’ kinda nervous we're all a little bit confused nothing's the same, this ain't a game we gotta make it through  verse 2 as we wave outside the window older loved ones stay inside moms and babies blowin' kisses may be saving someone's life they had to cancel graduation it ain't fair to skype the prom our kids sit homе in isolation tv news is always on  chorus when you can't do what you do you do what you can this ain’t my prayer, it’s just a thought i'm wanting to sеnd ’round here, we bend but don't break down here, we all understand when you can't do what you do you do what you can you might also likeverse 3 the chicken farm from arkansas bought workers ppe not before five hundred more had succumbed to this disease honest men and honest women workin' for an honest wage i got a hundred point one fever, and we still got bills to pay  chorus when you can’t do what you do you do what you can this ain't my prayer, it's just a thought i'm wanting to send 'round here, we bend but don't break down here, we all understand when you can't do what you do you do what you can  bridge they built a hospital on east meadow in central park last night doctors, nurses, truckers, grocery store clerks manning the front lines i saw a red cross on the hudson they turned off the broadway lights another ambulance screams by there by the grace of god go i  verse 4 although i'll keep my social distance what this world needs is a hug until we find the vaccination there's no substitute for love so love yourself and love your family love your neighbor and your friend ain't it time we loved a stranger? they're just a friend you ain't met yet chorus when you can't do what you do you do what you can this ain't my prayer, it's just a thought i'm wanting to send 'round here, we bend but don't break down here, we all understand when you can't do what you do you do what you can when you can't do what you do you do what you can1embed"
Bon Jovi,Unbroken,10s,2019,"16 contributorsunbroken lyricsverse 1 i was born to be of service camp lejeune just felt like home i had honor, i found purpose ""sir, yes, sir,"" that's what i know they sent us to a place i never heard of weeks before when you're nineteen it ain't hard to sleep in the desert on god's floor close your eyes, stop counting sheep you ain't in boot camp anymore  verse 2 we were taught to shoot our rifles men and women side by side thought we'd be met as liberators in a thousand-year-old fight i got this painful ringing in my ear from an ied last night but no lead-lined humvee war machine could save my sergeant's life three more soldiers, six civilians need these words to come out right  chorus god of mercy, god of light save your children from this life hear these words, this humble plea for i, have seen the suffering and with this prayer, i'm hopin' that we can be unbroken you might also likeverse 3 it's eighteen months now, i’ve been stateside with this medal on my chest but there are things i can't remember and there are things i won't forget i lie awake at night with dreams the devil shouldn't see i wanna scream, but i can't breathe and christ, i'm sweatin' through these sheets where's my brothers? where's my country? where's my ""how things used to be""?  chorus god of mercy, god of light save your children from this life hear these words, this humble plea for i, have seen the suffering and with this prayer, i'm hopin' that we can be unbroken  bridge my service dog's done more for me than the medication would there ain't no angel that's comin' to save me but even if they could verse 4 today, twenty-two will die from suicide just like yesterday, they're gone i live my life for each tomorrow so their memories will live on once we were boys, and we were strangers now we're brothers and we're men someday, you'll ask me, ""was it worth it to be of service in the end?"" well, the blessing and the curses yeah, i'd do it all again  outro whoa-oh-oh-oh whoa-oh-oh-oh whoa-oh-oh-oh whoa-oh-oh whoa-oh-oh-oh whoa-oh-oh whoa-oh, yeah2embed"
