words,00s,10s,50s,80s,90s
pain,0,1,0,0,4
painful,0,1,0,0,0
paint,1,0,0,2,0
paper,0,1,0,1,0
paradise,0,1,0,0,0
paramedic,0,0,0,1,0
park,0,2,0,1,0
part,1,0,0,2,0
parted,1,0,0,0,0
parting,1,0,0,0,0
party,0,0,1,0,0
pas,0,1,0,1,0
paso,0,1,0,0,0
passed,1,0,0,0,0
passion,0,0,0,1,0
patriot,0,1,0,0,0
paved,1,0,0,0,1
pay,0,2,0,2,2
paycheck,0,2,0,0,0
payoff,0,0,0,0,1
payphone,0,0,0,0,1
peace,0,1,1,0,0
penn,0,1,0,0,0
pennsylvania,0,1,0,0,0
people,0,0,0,1,0
perfect,0,1,0,0,1
perfume,0,0,0,0,1
permanent,0,0,0,1,0
phoenix,0,0,0,1,0
phone,1,0,0,0,0
photograph,1,0,0,0,0
piano,0,0,0,0,1
pick,1,0,0,0,1
picture,0,2,0,1,1
piece,1,0,0,0,2
pill,1,0,0,2,0
pittsburgh,0,1,0,0,0
place,1,4,1,3,3
plan,1,0,0,1,0
plastic,0,0,0,1,0
play,0,0,0,4,0
played,0,1,0,1,1
playin,0,0,0,1,0
plea,0,1,0,0,0
pleaded,0,1,0,0,0
please,0,1,0,2,2
poet,0,1,0,1,1
point,0,2,0,0,0
poison,0,0,0,1,0
politician,0,1,0,0,0
postchorus,1,2,0,1,1
pot,1,0,0,0,0
potion,0,0,0,1,0
pour,0,1,0,0,0
power,0,1,0,0,0
ppe,0,2,0,0,0
pray,0,2,0,0,0
prayed,0,0,0,0,1
prayer,1,6,0,1,2
prayer49embed,0,0,0,1,0
prayin,0,1,1,0,0
praying,0,1,0,0,1
preacher,0,0,0,1,1
prechorus,1,5,2,11,5
prescribe,0,1,0,1,0
prescription,0,1,0,1,0
president,0,0,0,1,0
pressure,0,1,0,0,0
pretend,0,1,0,0,0
pretty,0,1,0,0,0
price,1,0,0,0,1
pride,0,1,0,1,2
priest,0,1,0,0,0
prison,0,0,0,1,0
probably,0,0,1,0,0
prom,0,1,0,1,0
promise,0,3,2,1,2
promised,0,0,0,1,0
proof,0,1,0,0,0
prosper,0,0,0,0,1
protest,0,2,0,0,0
prove,0,0,0,0,1
pull,0,1,0,0,1
purpose,0,1,0,0,0
put,0,1,0,2,0
racin,0,0,0,1,0
radio,0,0,0,2,0
raging,0,1,0,0,0
rain,0,2,0,0,4
rainbow,1,0,0,0,0
raining,0,0,0,0,1
rainy,0,0,0,1,0
raise,2,0,0,1,0
raised,0,1,0,0,0
ran,0,0,0,0,1
ransom,0,0,0,1,1
rap,0,0,0,1,0
rather,0,0,0,0,1
reach,0,0,0,0,1
reaching,1,0,0,0,0
read,0,1,0,1,0
readin,0,1,0,0,0
ready,0,0,0,2,0
real,0,1,0,0,0
really,0,1,1,1,1
reason,1,0,0,1,1
reckoning,0,1,0,0,0
reckoningembed,0,1,0,0,0
red,0,2,0,1,0
regret,0,0,1,0,0
remedy,0,1,0,1,0
remember,0,6,0,2,1
rememberin,0,0,0,1,0
reminds,0,0,0,0,1
renegade,0,0,0,0,1
repeat,0,2,0,0,0
replace,1,0,0,0,0
reporter,0,1,0,0,0
reputation,0,0,0,1,0
rescue,1,0,0,0,0
respirator,0,0,0,1,0
rest,0,0,1,0,0
reward,0,0,0,0,1
rewind,1,0,0,0,0
rhyme,0,0,0,0,1
rhythm,0,1,0,0,0
ride,0,1,0,4,0
rifle,0,1,0,0,0
right,1,5,1,3,2
ring,1,1,1,0,0
ringing,1,1,0,0,0
rising,0,1,0,0,0
risk,1,1,0,0,0
river,0,0,1,1,1
road,2,0,0,1,0
rock,0,1,0,2,0
rocked,0,0,0,1,0
rocket,0,1,0,0,0
rockin,0,0,0,1,0
roll,0,0,1,1,1
roller,0,1,0,0,0
rollin,0,2,0,0,0
rolling,2,1,0,0,0
rome,0,0,0,0,1
romeo,0,0,1,0,1
roof,0,1,0,0,0
room,0,1,0,1,2
rose,0,1,1,0,3
roses11embed,0,0,0,0,1
rough,0,1,0,0,0
round,0,5,0,0,1
roxie,0,0,0,1,0
rule,0,0,0,2,0
run,1,6,0,4,3
runaway,0,0,0,1,0
runaway7embed,0,0,0,1,0
runnin,0,0,0,1,0
running,1,0,1,1,0
russian,0,1,0,0,0
sable,0,0,0,1,0
sacrificed,1,0,0,0,0
sad,0,0,0,0,1
said,2,2,0,3,3
saint,1,0,0,0,0
sale,0,1,0,0,0
sale1embed,0,1,0,0,0
sally,0,0,0,1,0
same,0,2,0,1,1
sand,0,1,0,0,1
sandy,0,1,0,0,0
satan,0,1,0,0,0
satisfaction,0,0,0,1,0
saturday,0,0,1,0,1
save,0,1,1,2,0
saving,1,1,0,0,1
savior,0,0,1,0,1
saw,0,3,0,1,1
say,6,4,3,7,3
sayreville,0,0,0,1,0
scar,0,1,0,0,0
scared,0,1,0,0,0
scattered,0,0,0,0,1
school,0,3,0,3,0
scream,0,4,0,0,0
scrub,0,1,0,0,0
sea,1,1,0,0,0
sealed,0,1,0,0,0
season,0,1,0,0,1
sebring,0,1,0,0,0
second,0,0,0,0,1
secret,0,2,0,0,0
see,4,4,1,4,4
seed,1,0,0,0,0
seem,0,0,0,0,1
seems,1,0,0,1,1
seen,0,2,1,2,2
sell,1,0,0,1,0
send,0,2,1,0,0
sent,0,1,0,0,0
separate,0,0,0,1,0
sergeant,0,1,0,0,0
service,0,1,0,0,0
set,0,2,0,2,0
seven,0,1,1,1,0
señoritas,0,0,0,1,0
shadow,0,1,0,1,0
shake,1,0,0,1,0
shark,0,1,0,0,0
sheep,0,1,0,0,0
sheet,0,1,0,0,0
shelter,0,1,0,0,1
shine,1,1,0,0,1
shining,1,0,0,0,0
shit,0,0,0,0,1
shoe,0,2,0,0,1
shoot,0,2,0,0,0
shore,0,0,1,0,0
shot,0,0,0,5,0
shot1embed,0,0,0,1,0
shoulder,0,2,0,0,0
shout,1,1,0,0,0
shoved,0,1,0,0,0
show,2,2,0,3,0
shut,1,0,0,0,0
shutting,0,2,0,0,0
shy,0,0,0,1,0
side,1,1,0,4,0
sidewalk,0,2,0,0,0
sideways,1,0,0,0,0
siege,0,1,0,0,0
sign,0,0,0,1,0
silent,1,1,0,0,0
silver,0,1,0,0,0
sin,0,1,0,0,1
since,0,1,0,0,1
sing,1,0,0,1,1
singer,0,0,0,1,0
singing,0,0,0,0,1
single,0,1,0,1,0
sinner,1,1,0,0,0
sipping,1,0,0,0,0
sir,0,2,0,0,0
sit,0,2,0,2,0
sitting,0,0,0,0,1
situation,0,0,0,1,0
six,0,1,1,0,0
sixpack,0,0,0,1,0
sixstring,0,0,0,2,0
sixteen,0,0,0,0,1
skin,0,1,0,0,0
skinny,0,0,0,1,0
skippin,0,0,0,1,0
sky,1,2,1,0,1
skyline,0,1,0,0,0
skype,0,1,0,0,0
slaving,1,0,0,0,0
sleep,0,4,1,1,1
sleepin,0,1,0,0,0
sleeping,1,0,0,0,1
slide,0,1,0,0,0
slip,0,1,0,0,0
slipped,1,0,0,0,0
slow,0,0,0,1,0
slower,0,1,0,0,0
slumber,0,0,1,0,0
small,0,2,0,0,0
smaller,0,1,0,0,0
smell,0,0,0,0,1
smile,1,0,0,1,1
smoke,0,1,0,0,0
smoky,0,0,0,1,0
snap,0,1,0,0,0
so,0,0,0,1,0
soaking,0,1,0,0,0
social,0,2,0,2,0
society,0,0,0,0,1
sold,0,1,0,0,1
soldier,0,3,0,0,0
solve,1,0,0,0,0
somebody,0,1,0,1,1
someday,0,2,0,1,2
somehow,0,0,0,0,1
someone,0,3,0,0,1
somethin,0,1,0,1,0
something,2,2,0,2,1
sometimes,1,1,1,1,2
somewhere,0,1,0,1,0
son,0,2,0,0,1
song,1,2,0,1,4
song1embed,0,0,0,0,1
soon,0,1,0,1,0
sorry,0,0,1,1,0
soul,0,2,0,0,2
sound,0,1,0,0,0
sounded,1,0,0,0,0
south,1,0,0,0,0
southwest,0,1,0,0,0
sown,1,0,0,0,0
space,0,1,0,0,0
spark,0,2,0,1,0
speak,0,1,0,0,0
speed,0,0,1,0,0
spend,0,0,1,0,0
spending,1,0,0,0,0
spends,0,0,0,0,1
spent,1,0,0,0,0
spike,0,1,0,0,0
spine,0,1,0,0,0
spit,1,1,0,0,0
spotlight,0,0,0,0,1
squeezing,0,0,0,0,1
stack,0,1,0,0,0
staked,0,1,0,0,0
stand,3,2,0,1,3
standin,0,0,0,1,0
standing,1,1,0,2,1
star,0,2,0,0,2
stared,0,1,0,0,1
staring,0,1,0,0,0
start,0,2,0,1,0
starve,0,0,1,0,0
state,0,1,0,0,0
stateside,0,1,0,0,0
stay,1,2,0,0,0
staying,1,0,0,0,0
steal,1,0,1,0,1
stealing,0,0,0,1,0
steel,0,0,0,1,0
step,1,4,0,0,1
sticky,0,0,0,1,0
still,1,3,0,2,5
stocking,0,0,0,1,0
stone,1,1,0,0,0
stoneman,0,1,0,0,0
stood,1,1,0,0,0
stop,0,2,0,2,0
store,0,2,0,0,0
storm,0,2,0,0,0
story,2,3,0,0,1
stranger,0,3,0,1,0
street,4,4,0,3,3
stretch,1,0,0,0,0
strike,0,0,0,1,0
stripe,0,1,0,0,0
strong,0,1,0,1,3
stuff,0,1,0,0,0
stumbled,1,0,0,0,0
styrofoam,0,0,0,0,1
substitute,0,2,0,0,0
succumbed,0,2,0,0,0
suffered,0,0,0,0,1
suffering,0,1,0,0,0
sugar,0,1,0,0,0
suicide,0,1,1,0,0
suitcase,0,0,1,0,1
summer,0,0,0,0,1
summoning,0,1,0,0,0
sun,1,1,1,0,2
sunday,0,0,1,0,0
sunset,0,0,0,1,0
sunshine,0,1,0,0,0
sure,0,0,1,2,0
surrender,0,0,0,1,0
survive,0,0,0,0,1
swallow,1,0,0,0,0
swear,1,0,1,1,0
sweat,0,2,0,0,0
sweatin,0,1,0,0,0
sweet,0,2,0,0,0
swimmin,0,0,1,0,0
swimming,0,1,0,0,1
swing,0,0,0,1,0
swore,0,0,0,1,0
symptom,0,0,0,1,0
sеnd,0,1,0,0,0
table,0,1,0,4,0
take,2,5,0,6,5
takeout,0,1,0,0,0
taking,0,0,0,1,1
talk,1,2,1,4,0
talking,0,1,0,1,1
tall,1,1,0,2,1
taller,0,1,0,0,0
tango,0,0,0,1,0
taste,0,2,0,0,0
taught,0,1,0,0,0
teacher,0,0,0,1,0
tear,0,2,1,0,0
teardrop,0,1,0,0,0
technicolor,0,1,0,0,0
teeth,0,1,0,0,0
telephone,1,0,0,1,0
tell,1,2,0,5,3
ten,0,0,0,1,0
test,0,0,0,0,1
texas,0,1,0,0,0
thank,1,0,0,0,0
thats,3,6,0,3,2
theese,0,0,0,0,1
them,0,1,0,1,0
then,0,0,0,0,1
there,4,14,0,5,5
therell,0,1,0,0,0
these,0,1,0,0,0
theyll,0,2,0,2,0
theyre,1,5,0,2,1
theyve,0,2,0,0,0
thing,4,2,1,1,4
think,1,2,0,1,2
thinking,0,1,0,0,1
thirst,0,1,0,0,0
thirsty,0,0,1,0,0
thirtytwo,0,0,0,1,0
this,0,1,0,0,0
thorny,0,1,0,0,0
though,0,0,0,0,1
thought,0,4,0,0,1
thousand,1,1,1,0,0
thousandyearold,0,1,0,0,0
three,0,3,0,2,0
threw,0,0,0,1,0
thrill,0,1,0,1,0
throne,0,1,0,0,0
thunder,0,2,0,0,0
thursday,0,0,0,0,1
tide,0,3,0,0,0
tied,0,1,0,0,0
tight,0,1,0,2,0
til,0,2,0,1,0
till,1,1,0,1,2
time,3,9,2,9,8
tired,0,1,0,0,0
to,1,0,0,0,0
today,0,2,0,0,0
together,0,2,0,2,0
tokyo,0,0,0,1,0
told,0,1,0,0,1
tommy,1,1,0,1,0
tommys,0,0,0,1,0
tomorrow,2,3,1,0,1
tongue,1,0,0,0,0
tonight,2,3,0,1,2
tonight3embed,0,0,0,0,1
took,0,1,0,2,1
torch,0,1,0,0,0
touch,0,2,0,1,1
tough,0,0,1,1,1
town,0,3,0,1,0
track,0,2,0,1,0
trade,0,1,0,0,0
train,0,0,0,1,1
trash,0,0,0,1,0
tray,0,0,0,1,0
treasure,0,1,0,0,0
tree,0,1,0,0,0
trick,0,1,0,0,0
tried,3,0,0,0,1
tripping,1,0,0,0,0
trucker,0,2,0,0,0
true,0,0,2,1,1
trust,0,1,0,0,0
truth,1,2,0,1,1
try,1,0,0,2,2
tryin,0,1,0,0,0
trying,3,0,0,1,3
tryna,1,1,0,0,0
tucked,0,1,0,0,0
tuesday,0,0,0,0,1
turn,1,1,0,1,2
turned,0,2,0,2,0
turning,0,0,0,0,1
tv,0,2,0,1,0
twelve,0,1,0,0,0
twentyfour,0,1,0,0,0
twentytwo,0,1,0,0,0
twice,0,1,0,0,0
twilight,1,0,0,0,0
two,0,0,0,2,0
unafraid,0,1,0,0,0
unbroken,0,1,0,0,0
under,0,0,1,0,0
understand,2,2,1,1,1
union,0,0,0,1,0
university,0,1,0,0,0
up,0,2,0,2,0
upon,0,0,0,1,0
upside,0,1,0,0,0
upstate,0,1,0,0,0
uptown,0,0,0,1,0
use,0,1,1,0,0
used,1,3,0,3,0
vaccination,0,2,0,0,0
vagabond,0,0,0,0,1
valentine,0,0,1,0,0
vancouver,0,0,0,1,0
ve,0,1,0,0,1
vega,0,1,0,0,0
vein,0,2,0,0,1
victory,0,1,0,0,0
vine,0,0,0,0,1
virginia,0,1,0,0,0
vodka,0,0,0,0,1
voice,1,3,0,0,0
wa,0,1,0,0,0
wage,0,2,0,0,0
wait,0,0,0,1,1
waiting,0,1,0,0,1
wake,0,1,0,0,1
walk,1,4,0,2,0
walked,0,1,0,0,0
walking,1,0,0,0,2
wall,0,3,0,0,0
wallet,0,1,0,0,0
wallsembed,0,1,0,0,0
wanna,3,7,0,2,1
wannabe,0,0,0,0,1
want,5,3,1,2,4
wanted,0,0,1,1,1
wanting,0,2,0,0,0
war,0,1,0,0,1
wash,0,0,0,0,2
waste,0,0,0,1,1
wasted,0,0,0,0,1
wastin,0,0,0,1,0
wasting,1,0,0,0,0
watch,0,1,0,0,1
water,0,3,1,0,1
water1embed,0,1,0,0,0
wave,0,3,0,0,0
way,2,3,0,2,4
wayward,0,0,0,0,1
we,1,0,0,0,1
wear,1,0,0,0,1
wed,0,1,0,2,0
week,0,1,1,0,0
weekend,0,0,0,1,0
well,2,6,2,7,4
went,1,0,0,0,2
were,1,6,1,5,2
weren,1,0,0,0,0
weve,0,0,1,2,1
what,1,1,0,0,0
whatever,0,0,0,0,1
whats,1,1,0,0,1
whens,0,0,0,1,0
wheres,0,1,0,0,0
wherever,0,2,0,0,0
whiskey,0,0,0,0,1
whisper,0,0,0,1,1
white,2,1,0,2,0
who,1,4,0,0,0
whoa,0,2,0,0,1
whoaoh,0,1,0,0,0
whoaohoh,0,1,0,0,0
whoaohohoh,0,1,0,0,0
whole,0,0,0,0,2
whore,0,0,0,0,1
why,1,0,0,0,0
wider,0,1,0,0,0
wife,0,0,0,0,1
wig,0,0,0,0,1
wild,0,0,1,1,0
willing,0,0,0,1,0
win,0,0,0,1,0
wind,2,1,0,0,0
window,0,3,0,0,1
wine,1,1,1,0,1
wing,1,0,0,0,0
wipe,0,0,0,1,0
wire,0,0,0,1,1
wish,0,3,1,0,3
without,1,0,1,1,1
woah,1,0,1,3,0
woah7embed,0,0,1,0,0
woahoh,0,0,0,1,0
woahohoh,0,0,0,1,0
woahohoh1embed,0,0,0,1,0
wolf,0,1,0,0,0
woman,0,3,0,0,0
wonder,0,1,0,0,0
wondered,0,0,0,0,1
word,2,4,1,1,2
wore,0,0,0,0,1
work,0,1,0,2,0
worked,0,0,0,1,0
worker,0,2,0,0,0
workin,0,2,0,1,0
working,0,1,0,0,0
world,3,4,1,3,3
worse,1,0,0,0,1
worth,0,2,0,0,1
would,3,2,1,5,3
wounded,0,0,0,0,1
wrap,0,1,0,0,0
wrapped,0,0,0,1,0
wrecking,0,1,0,0,0
write,2,1,0,0,0
writing,1,2,0,0,0
written,0,1,0,0,0
wrong,1,0,0,0,2
ya,0,1,0,0,0
yard,1,0,0,0,0
yeah1embed,0,0,0,1,0
yeah2embed,1,1,0,0,0
year,1,1,1,1,1
yes,0,1,0,1,0
yesterday,1,2,1,0,1
yet,0,3,0,1,0
york,0,0,0,1,0
you,1,2,1,3,2
you2embed,0,0,1,0,0
young,0,2,0,1,0
younger,0,1,0,0,0
zone,1,0,0,0,0
